,Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Argentina,3209,3257,3341,3468,3340,3473,3187,3267,3332,3442,3857
1,Australia,22543,21790,23423,30061,34485,35565,36917,42187,48480,56934,76768
2,Brazil,4218,4346,4466,4681,5185,7478,8703,9674,10260,11304,32844
3,Canada,169424,165544,164879,163751,160347,149164,135890,97322,104768,114101,101757
4,China,300985,300984,301016,301037,301045,301052,301044,317254,321714,321758,303379
5,Germany,593787,594250,571672,589735,187545,216956,316098,669468,970357,1063835,1146682
6,France,196364,200687,210207,217865,232487,252248,273117,304527,337158,368345,407915
7,United Kingdom,269355,238133,193494,149790,126036,117226,123051,118973,121821,126708,133083
8,Indonesia,794,808,1004,1811,3195,4267,5954,7824,9782,10786,10287
9,India,185318,184814,185118,185644,188391,199931,201379,197848,197142,195887,195103
10,Italy,54962,56402,58066,64782,76248,93712,118036,147362,167330,189227,207602
11,Japan,2331,2583,2645,2579,2586,2562,2479,2512,2189,1893,1463
12,South Korea,253,352,389,488,548,1164,1455,1798,2238,2890,3196
13,Mexico,1215,1364,1647,1501,1814,1820,2904,6178,8993,16530,28517
14,Saudi Arabia,573,578,595,575,557,559,122,136,153,263,315
15,Turkey,10339,10025,14457,267063,609931,1587365,2541348,2869419,3480350,3681688,3579531
16,United States,275398,264510,264752,262006,263653,267214,273198,272963,287135,313242,341715
17,South Africa,47972,57899,57899,65225,65976,112182,121635,91018,88694,89285,89285
