,Country Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
0,Argentina,3209.0,3257.0,3341.0,3468.0,3340.0,3473.0,3187.0,3267.0,3332.0,3442.0,3857.0,37173.0
1,Australia,22543.0,21790.0,23423.0,30061.0,34485.0,35565.0,36917.0,42187.0,48480.0,56934.0,76768.0,429153.0
2,Brazil,4218.0,4346.0,4466.0,4681.0,5185.0,7478.0,8703.0,9674.0,10260.0,11304.0,32844.0,103159.0
3,Canada,169424.0,165544.0,164879.0,163751.0,160347.0,149164.0,135890.0,97322.0,104768.0,114101.0,101757.0,1526947.0
4,China,300985.0,300984.0,301016.0,301037.0,301045.0,301052.0,301044.0,317254.0,321714.0,321758.0,303379.0,3371268.0
5,Germany,593787.0,594250.0,571672.0,589735.0,187545.0,216956.0,316098.0,669468.0,970357.0,1063835.0,1146682.0,6920385.0
6,France,196364.0,200687.0,210207.0,217865.0,232487.0,252248.0,273117.0,304527.0,337158.0,368345.0,407915.0,3000920.0
7,United Kingdom,269355.0,238133.0,193494.0,149790.0,126036.0,117226.0,123051.0,118973.0,121821.0,126708.0,133083.0,1717670.0
8,Indonesia,794.0,808.0,1004.0,1811.0,3195.0,4267.0,5954.0,7824.0,9782.0,10786.0,10287.0,56512.0
9,India,185318.0,184814.0,185118.0,185644.0,188391.0,199931.0,201379.0,197848.0,197142.0,195887.0,195103.0,2116575.0
10,Italy,54962.0,56402.0,58066.0,64782.0,76248.0,93712.0,118036.0,147362.0,167330.0,189227.0,207602.0,1233729.0
11,Japan,2331.0,2583.0,2645.0,2579.0,2586.0,2562.0,2479.0,2512.0,2189.0,1893.0,1463.0,25822.0
12,South Korea,253.0,352.0,389.0,488.0,548.0,1164.0,1455.0,1798.0,2238.0,2890.0,3196.0,14771.0
13,Mexico,1215.0,1364.0,1647.0,1501.0,1814.0,1820.0,2904.0,6178.0,8993.0,16530.0,28517.0,72483.0
14,Saudi Arabia,573.0,578.0,595.0,575.0,557.0,559.0,122.0,136.0,153.0,263.0,315.0,4426.0
15,Turkey,10339.0,10025.0,14457.0,267063.0,609931.0,1587365.0,2541348.0,2869419.0,3480350.0,3681688.0,3579531.0,18651516.0
16,United States,275398.0,264510.0,264752.0,262006.0,263653.0,267214.0,273198.0,272963.0,287135.0,313242.0,341715.0,3085786.0
17,South Africa,47972.0,57899.0,57899.0,65225.0,65976.0,112182.0,121635.0,91018.0,88694.0,89285.0,89285.0,887070.0
