,Country Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
1,Afghanistan,2887114.0,3054699.0,2664423.0,2586132.0,2556483.0,2596259.0,2666294.0,2501447.0,2624265.0,2681267.0,2728853.0,29547236.0
2,Angola,141006.0,134851.0,128657.0,19253.0,10274.0,9468.0,11855.0,8388.0,8292.0,8243.0,8178.0,488465.0
3,Albania,15707.0,14771.0,13552.0,12569.0,10104.0,10156.0,10404.0,11060.0,12168.0,13512.0,15027.0,139030.0
4,Andorra,5.0,5.0,5.0,6.0,5.0,5.0,5.0,,,,,36.0
6,United Arab Emirates,411.0,418.0,484.0,580.0,84.0,84.0,91.0,103.0,137.0,169.0,155.0,2716.0
7,Argentina,604.0,553.0,506.0,435.0,381.0,311.0,186.0,120.0,121.0,112.0,99.0,3428.0
8,Armenia,18004.0,17553.0,16491.0,15937.0,11995.0,11839.0,11211.0,10707.0,10786.0,11040.0,10962.0,146525.0
10,Antigua and Barbuda,27.0,28.0,32.0,45.0,50.0,53.0,56.0,82.0,99.0,107.0,117.0,696.0
11,Australia,23.0,38.0,38.0,47.0,27.0,27.0,21.0,15.0,10.0,10.0,20.0,276.0
12,Austria,15.0,10.0,10.0,15.0,5.0,5.0,,,10.0,24.0,18.0,112.0
13,Azerbaijan,16945.0,16756.0,16168.0,15541.0,10808.0,10508.0,9707.0,10118.0,10893.0,11246.0,11626.0,140316.0
14,Burundi,94221.0,84053.0,101282.0,73354.0,72636.0,72477.0,292750.0,408066.0,439320.0,387850.0,381508.0,2407517.0
15,Belgium,66.0,80.0,88.0,91.0,76.0,76.0,66.0,44.0,52.0,50.0,34.0,723.0
16,Benin,409.0,438.0,460.0,451.0,294.0,330.0,400.0,479.0,572.0,659.0,716.0,5208.0
17,Burkina Faso,983.0,1141.0,1262.0,1458.0,1578.0,1853.0,2147.0,2352.0,2694.0,11447.0,11733.0,38648.0
18,Bangladesh,10428.0,10044.0,10045.0,10157.0,9718.0,10870.0,12155.0,13840.0,16780.0,21023.0,22880.0,147940.0
19,Bulgaria,2743.0,2558.0,2322.0,2143.0,1875.0,1644.0,1264.0,799.0,716.0,620.0,561.0,17245.0
20,Bahrain,72.0,81.0,213.0,294.0,274.0,344.0,422.0,461.0,497.0,540.0,557.0,3755.0
21,"Bahamas, The",12.0,17.0,184.0,195.0,208.0,216.0,216.0,298.0,378.0,421.0,501.0,2646.0
22,Bosnia and Herzegovina,70006.0,62996.0,58572.0,51815.0,26787.0,21883.0,18763.0,18194.0,17690.0,16956.0,16556.0,380218.0
