,Year,Africa,Asia,Europe,North America,Oceania,South America,Unknown
0,2010,101355,422063,88801,336553,5345,87178,1330
1,2011,100374,451593,83850,333902,4980,86096,1245
2,2012,107241,429599,81671,327771,4742,79401,1206
3,2013,98304,400548,86556,315660,5277,80945,3263
4,2014,98413,430508,83266,324354,5112,73715,1150
5,2015,101415,419297,85803,366126,5404,72309,677
6,2016,113426,462299,93567,427293,5588,79608,1724
7,2017,118824,424743,84335,413650,5071,79076,1468
8,2018,115736,397187,80024,418991,4653,78869,1151
9,2019,111194,364761,87597,370860,5359,90850,1144
