,Year,Africa,Asia,Europe,North America,Oceania,South America,Unknown
0,2010,485110,9404375,14692093,16449861,1290993,3587883,561254
1,2011,508489,10027386,15481558,20940354,1513963,4126385,484151
2,2012,573184,11062760,15710015,19996738,1618337,4651162,275090
3,2013,645919.0,12230911.0,16167460.0,24561055.0,1770569.0,5511558.0,164788.0
4,2014,757181.0,13307053.0,17376449.0,35589531.0,1822066.0,6052610.0,25716.0
5,2015,792026.0,14025173.0,17340542.0,36312759.0,1859507.0,6256760.0,51469.0
6,2016,816541.0,14751353.0,17742391.0,35693733.0,1906888.0,6039711.0,161456.0
7,2017,809114.0,15154164.0,17889171.0,35375881.0,1970630.0,6349041.0,95266.0
8,2018,838490.0,15279660.0,18297426.0,37987067.0,1962796.0,6828559.0,85694.0
9,2019,815177.0,15100864.0,18517513.0,38575567.0,1917903.0,6550198.0,85917.0
