,State,Total
2,Alabama,187323.0
3,Alaska,143367.0
4,Arizona,2816342.0
5,Arkansas,135017.0
6,California,15542204.0
7,Colorado,853518.0
8,Connecticut,272457.0
9,Delaware,53195.0
10,District of Columbia,547082.0
11,Florida,11547672.0
12,Georgia,992139.0
13,Guam,1398597.0
14,Hawaii,2968121.0
15,Idaho,60048.0
16,Illinois,1686954.0
17,Indiana,304030.0
18,Iowa,91113.0
19,Kansas,133432.0
20,Kentucky,142262.0
21,Louisiana,403131.0
22,Maine,106021.0
23,Maryland,472649.0
24,Massachusetts,1496110.0
25,Michigan,1122095.0
26,Minnesota,345845.0
27,Mississippi,60019.0
28,Missouri,211214.0
29,Montana,61228.0
30,Nebraska,384485.0
31,Nevada,2879103.0
32,New Hampshire,78629.0
33,New Jersey,1451345.0
34,New Mexico,716268.0
35,New York,8969038.0
36,North Carolina,522296.0
37,North Dakota,42722.0
38,Ohio,424978.0
39,Oklahoma,167281.0
40,Oregon,310196.0
41,Pennsylvania,724990.0
42,Puerto Rico,129260.0
43,Rhode Island,67205.0
44,South Carolina,227956.0
45,South Dakota,22888.0
46,Tennessee,400284.0
47,Texas,9461551.0
48,Utah,257892.0
49,Vermont,62046.0
50,Virginia,591558.0
51,Washington,1520812.0
52,West Virginia,38134.0
53,Wisconsin,225038.0
54,Wyoming,31969.0
